centerX_1,centerY_1,width_1,height_1,angle_1,area_1,centerX_2,centerY_2,width_2,height_2,angle_2,area_2
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,405.5,117.0,89.0,0.0,10413.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,405.5,117.0,89.0,0.0,10413.0,,,,,,
296.0,406.0,88.0,116.0,90.0,10208.0,,,,,,
296.0,406.0,88.0,116.0,90.0,10208.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.53033447265625,405.7412109375,117.42610168457031,87.60995483398438,2.2906100749969482,10287.695464916062,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,405.5,87.0,117.0,90.0,10179.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.0,406.0,88.0,116.0,90.0,10208.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.0,406.0,88.0,116.0,90.0,10208.0,,,,,,
296.0,406.0,88.0,116.0,90.0,10208.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.0,406.0,88.0,116.0,90.0,10208.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
296.5,406.0,88.0,117.0,90.0,10296.0,,,,,,
